Date,DayOfWeek,DayType,TotalOrders,Beef Bulalo,Pancit Bihon Guisado,Crispy Chicharon Bulaklak,Crispy Dinakdakan,Crispy Sisig Barkada,Calamares,Pancit Canton Guisado,Shanghai,Garlic Butter Bangus,Crispy Bagnet,CM1 Egg + Rice + Hungarian + Sisig,CM2 Egg + Rice + Nuggets + Sisig,CM3 Egg + Rice + Shanghai + Sisig,CM4 Egg + Rice + Bagnet + Nuggets,CM5 Egg + Rice + Bagnet + Sisig,CM6 Egg + Rice + Hotdog + Sisig,CM7 Egg + Rice + Bagnet + Hotdog,CM8 Egg + Rice + Bagnet + Hungarian,Sisilog,Bagnetsilog,Hungarian Silog,Shanghaisilog,Nuggets Silog,Hotsilog,Siomaisilog,Siomairice,Dinakdakansilog,Chicksilog,Bangsilog,Porksilog,4 in 1,Double Cheese,Shawarma,Hawaiian,Beefy Mushroom,Ham and Cheese,Bacon,Pepperoni,Sarap,exported_at
2022-11-19,Saturday,Weekend,429,24,8,13,3,22,21,7,15,13,2,10,1,41,20,1,1,11,4,0,8,5,1,17,25,13,20,2,3,2,17,26,12,23,9,6,10,1,0,12,2026-06-19 12:57:02
2022-11-20,Sunday,Weekend,399,7,8,9,5,11,7,5,20,8,16,24,26,30,4,0,3,4,30,10,1,2,2,11,14,22,31,2,5,2,5,21,8,12,8,0,1,10,12,3,2026-06-19 12:57:02
2022-11-21,Monday,Weekday,156,4,7,3,6,5,5,6,21,2,3,1,1,6,13,3,1,2,2,2,1,7,0,4,6,2,4,5,5,3,2,7,6,2,1,0,1,5,0,2,2026-06-19 12:57:02
2022-11-22,Tuesday,Weekday,245,8,2,9,8,3,6,10,2,1,7,18,8,1,8,4,6,10,4,11,9,6,1,12,21,1,5,1,9,10,1,11,1,9,4,2,3,1,7,5,2026-06-19 12:57:02
2022-11-23,Wednesday,Weekday,208,1,1,0,8,13,0,4,0,14,21,8,15,13,10,5,2,1,2,6,1,2,3,1,6,17,9,7,6,4,1,12,2,1,6,1,3,0,1,1,2026-06-19 12:57:02
2022-11-24,Thursday,Weekday,343,0,7,14,3,37,2,5,2,10,8,9,13,9,10,24,3,6,12,11,2,5,6,6,2,22,12,5,10,20,2,2,6,11,0,33,6,3,3,2,2026-06-19 12:57:02
2022-11-25,Friday,Weekday,381,16,30,5,27,30,7,10,7,11,0,13,0,19,22,2,5,6,8,5,10,5,0,0,0,16,38,9,6,2,9,2,8,22,2,18,0,5,2,4,2026-06-19 12:57:02
2022-11-26,Saturday,Weekend,612,2,6,9,6,29,38,9,4,6,53,15,10,3,10,4,53,38,1,14,5,9,41,14,7,5,26,19,10,4,8,50,11,7,14,28,10,3,13,18,2026-06-19 12:57:02
2022-11-27,Sunday,Weekend,404,9,16,5,1,44,4,8,12,8,4,12,16,7,7,1,1,4,3,25,16,10,7,2,35,5,1,7,18,18,0,17,2,0,13,17,13,10,13,13,2026-06-19 12:57:02
2022-11-28,Monday,Weekday,159,9,4,14,24,2,7,2,2,3,0,3,8,1,3,11,2,2,3,2,4,5,3,7,3,2,5,6,4,0,1,1,1,4,0,5,1,2,2,1,2026-06-19 12:57:02
2022-11-29,Tuesday,Weekday,184,7,0,2,7,5,1,2,5,13,12,2,28,0,0,6,1,0,1,2,5,5,1,3,10,6,1,15,4,0,0,1,4,1,3,0,12,2,9,8,2026-06-19 12:57:02
2022-11-30,Wednesday,Weekday,162,0,1,0,9,3,0,0,2,8,5,9,2,0,10,0,8,2,0,4,12,11,1,1,3,3,4,1,11,3,6,2,2,9,3,6,14,4,3,0,2026-06-19 12:57:02
2022-12-01,Thursday,Weekday,198,1,2,1,1,2,2,2,0,0,8,3,3,3,9,3,4,15,9,3,6,1,3,20,4,13,3,30,5,0,4,1,0,8,1,8,2,1,15,2,2026-06-19 12:57:02
2022-12-02,Friday,Weekday,310,5,5,4,17,11,3,15,2,6,31,7,13,7,13,23,3,2,6,9,2,0,4,27,9,3,2,4,1,0,17,36,1,0,2,5,2,2,1,10,2026-06-19 12:57:02
2022-12-03,Saturday,Weekend,300,8,6,3,18,39,2,2,6,1,6,6,6,3,7,26,1,8,0,1,7,1,0,2,6,9,2,9,2,7,4,6,32,19,0,15,1,24,2,3,2026-06-19 12:57:02
2022-12-04,Sunday,Weekend,460,0,1,26,60,23,17,22,5,1,0,9,4,1,4,2,44,2,13,18,14,2,7,1,12,4,16,18,16,10,8,25,5,20,22,9,7,10,1,1,2026-06-19 12:57:02
2022-12-05,Monday,Weekday,280,0,1,5,10,3,14,18,19,11,5,0,5,5,12,33,5,4,1,0,5,5,11,5,16,6,11,1,14,7,1,1,13,0,3,1,10,13,3,3,2026-06-19 12:57:02
2022-12-06,Tuesday,Weekday,214,22,10,15,4,2,2,9,1,1,0,3,11,0,7,16,1,6,25,20,1,0,1,8,7,7,2,1,6,5,9,3,2,2,1,1,0,2,0,1,2026-06-19 12:57:02
2022-12-07,Wednesday,Weekday,274,6,1,9,9,8,22,0,9,22,16,1,2,1,7,10,4,5,9,4,14,11,0,6,1,5,20,14,4,4,1,4,1,5,0,3,3,23,8,2,2026-06-19 12:57:02
2022-12-08,Thursday,Weekday,109,0,2,1,3,8,2,3,2,7,11,2,1,2,1,4,2,1,1,2,6,3,3,1,2,2,3,0,2,1,1,8,1,1,1,6,3,4,5,1,2026-06-19 12:57:02
2022-12-09,Friday,Weekday,239,2,2,11,0,5,6,6,5,7,2,4,4,14,1,13,7,0,7,0,37,14,3,1,3,3,3,3,6,2,12,10,3,11,1,0,7,5,6,13,2026-06-19 12:57:02
2022-12-10,Saturday,Weekend,345,29,9,17,1,3,15,6,5,6,13,3,10,2,1,4,3,27,1,2,10,7,1,0,49,12,5,7,4,4,14,18,3,16,2,2,0,2,26,6,2026-06-19 12:57:02
2022-12-11,Sunday,Weekend,306,1,18,12,10,30,2,12,7,11,13,3,10,2,3,1,17,2,4,3,18,3,10,10,4,3,7,13,10,1,14,2,5,10,2,10,7,12,2,2,2026-06-19 12:57:02
2022-12-12,Monday,Weekday,225,11,1,2,30,4,19,1,2,8,9,5,4,10,1,4,1,7,1,3,4,0,0,7,4,11,6,0,5,0,7,21,3,6,1,3,19,1,1,3,2026-06-19 12:57:02
2022-12-13,Tuesday,Weekday,237,9,2,18,0,4,6,1,8,1,0,1,17,6,11,4,6,4,18,9,9,0,6,4,23,2,1,3,1,1,13,5,9,9,1,6,0,15,2,2,2026-06-19 12:57:02
2022-12-14,Wednesday,Weekday,209,2,3,2,4,14,11,3,4,15,0,15,1,6,6,4,10,1,3,5,11,1,11,3,1,9,1,5,0,2,5,4,3,3,1,3,24,12,1,0,2026-06-19 12:57:02
2022-12-15,Thursday,Weekday,256,17,4,6,12,4,6,24,8,2,2,2,14,3,0,24,1,0,1,1,5,21,19,5,4,6,3,0,22,2,1,4,5,0,1,5,13,1,3,5,2026-06-19 12:57:02
2022-12-16,Friday,Weekday,345,16,3,3,6,18,1,6,0,0,7,4,18,9,7,4,6,0,19,57,1,1,3,10,12,21,12,6,8,9,6,5,9,8,7,6,15,10,5,7,2026-06-19 12:57:02
2022-12-17,Saturday,Weekend,336,4,2,0,6,14,24,3,5,2,1,12,2,9,9,5,17,6,3,19,17,2,0,1,4,29,7,3,18,5,4,18,13,14,5,13,2,6,30,2,2026-06-19 12:57:02
2022-12-18,Sunday,Weekend,379,11,5,0,14,3,8,1,27,3,3,1,26,14,13,8,6,1,9,3,29,15,5,2,14,1,2,2,7,16,4,1,6,11,2,2,33,27,32,12,2026-06-19 12:57:02
2022-12-19,Monday,Weekday,226,1,2,4,4,30,7,7,1,12,15,1,12,2,0,5,5,0,2,28,7,7,1,0,3,1,1,1,5,2,10,1,4,0,2,0,32,9,2,0,2026-06-19 12:57:02
2022-12-20,Tuesday,Weekday,219,2,5,1,4,12,7,6,8,12,3,4,6,5,27,0,2,1,1,1,5,0,7,5,1,1,3,6,10,8,12,3,8,6,9,0,21,2,5,0,2026-06-19 12:57:02
2022-12-21,Wednesday,Weekday,199,2,1,1,0,20,0,2,1,6,3,2,5,7,1,1,2,22,4,7,3,5,0,0,5,4,1,9,28,3,7,14,9,4,7,1,7,2,1,2,2026-06-19 12:57:02
2022-12-22,Thursday,Weekday,193,1,5,4,5,2,1,5,22,0,3,10,0,11,3,2,2,2,2,13,8,6,8,1,4,3,8,2,6,11,3,0,3,2,7,16,5,3,3,1,2026-06-19 12:57:02
2022-12-23,Friday,Weekday,263,0,11,6,0,2,7,10,11,1,24,5,7,5,1,19,1,2,10,8,10,5,3,16,0,16,1,17,1,4,12,3,7,9,8,16,3,1,0,1,2026-06-19 12:57:02
2022-12-24,Saturday,Weekend,619,0,8,3,0,0,23,13,6,37,1,57,13,3,14,19,8,26,1,5,1,3,3,32,2,8,11,34,91,20,52,17,40,17,2,10,20,6,4,9,2026-06-19 12:57:02
2022-12-25,Sunday,Weekend,273,18,0,10,8,39,13,9,5,1,7,10,17,11,1,7,2,0,1,1,16,2,2,22,4,0,2,1,1,1,7,1,3,12,3,17,7,3,8,1,2026-06-19 12:57:02
2022-12-26,Monday,Weekday,162,1,3,4,7,16,2,3,3,18,9,10,1,6,1,1,10,0,13,1,6,1,2,1,4,2,4,0,0,0,2,5,8,1,3,6,2,2,3,1,2026-06-19 12:57:02
2022-12-27,Tuesday,Weekday,216,0,1,5,0,2,2,0,1,14,0,6,2,7,5,1,11,4,9,2,23,9,18,4,3,6,12,21,2,8,1,4,1,2,13,1,8,5,1,2,2026-06-19 12:57:02
2022-12-28,Wednesday,Weekday,149,3,1,8,14,1,1,2,5,1,0,2,13,2,2,12,4,4,2,13,6,9,5,5,1,2,5,1,3,1,6,0,5,3,1,3,1,1,1,0,2026-06-19 12:57:02
2022-12-29,Thursday,Weekday,138,15,0,5,1,7,1,5,7,5,1,4,1,0,2,2,2,6,1,1,0,5,4,1,5,4,3,4,4,5,2,1,1,4,6,2,1,6,7,7,2026-06-19 12:57:02
2022-12-30,Friday,Weekday,223,5,12,0,1,3,7,0,6,5,3,14,1,2,12,0,9,14,16,15,3,9,0,2,1,2,14,4,5,5,5,19,2,6,3,0,5,12,1,0,2026-06-19 12:57:02
2022-12-31,Saturday,Weekend,294,1,8,10,8,8,12,11,13,11,10,4,16,18,0,1,24,2,15,3,1,1,2,2,6,7,32,5,6,6,5,5,0,0,1,1,12,1,11,15,2026-06-19 12:57:02
2023-01-01,Sunday,Weekend,306,20,14,1,5,3,7,13,12,4,14,1,0,10,4,39,1,12,4,12,10,13,3,20,1,1,3,9,5,10,8,1,18,1,12,3,5,3,1,3,2026-06-19 12:57:02
2023-01-02,Monday,Weekday,210,2,2,1,5,18,5,15,7,8,11,5,8,0,16,11,2,10,0,1,0,9,11,13,0,5,7,1,7,1,1,4,6,1,1,1,4,3,3,5,2026-06-19 12:57:02
2023-01-03,Tuesday,Weekday,173,2,5,6,1,0,10,0,1,0,8,4,19,9,1,2,2,1,1,1,1,1,1,18,4,25,2,3,3,1,1,11,19,0,1,3,1,2,1,2,2026-06-19 12:57:02
2023-01-04,Wednesday,Weekday,161,1,1,0,2,17,1,6,5,8,6,3,5,0,1,13,5,11,5,6,3,4,2,9,5,5,3,1,0,7,3,1,1,5,5,5,3,2,1,0,2026-06-19 12:57:02
2023-01-05,Thursday,Weekday,237,10,0,8,4,7,16,0,9,0,0,4,0,13,5,0,0,7,12,4,5,10,8,1,6,6,9,7,25,1,19,4,6,1,2,10,13,0,5,0,2026-06-19 12:57:02
2023-01-06,Friday,Weekday,377,36,16,0,14,28,1,10,5,11,3,3,5,3,15,3,5,18,4,5,24,15,3,5,30,4,4,3,0,8,10,21,10,1,0,32,3,1,13,5,2026-06-19 12:57:02
2023-01-07,Saturday,Weekend,650,5,31,102,1,49,7,13,33,59,7,3,2,12,0,10,2,9,0,34,3,6,31,25,6,1,26,9,25,11,6,7,20,37,1,13,0,9,29,6,2026-06-19 12:57:02
2023-01-08,Sunday,Weekend,382,21,8,33,14,1,2,5,2,6,9,27,5,15,30,18,2,6,5,5,5,18,6,6,42,1,7,15,2,10,3,18,3,3,9,2,4,5,3,6,2026-06-19 12:57:02
2023-01-09,Monday,Weekday,193,3,3,6,3,2,6,9,1,2,5,4,5,0,6,0,4,10,4,1,22,12,7,2,1,12,4,9,2,3,22,3,1,1,3,0,5,2,6,2,2026-06-19 12:57:02
2023-01-10,Tuesday,Weekday,228,11,1,4,0,7,23,7,4,3,12,12,18,3,18,1,1,0,1,7,10,7,4,3,5,3,8,5,5,3,9,1,1,6,3,9,1,1,8,3,2026-06-19 12:57:02
2023-01-11,Wednesday,Weekday,200,4,3,3,5,2,7,9,1,5,5,1,1,2,6,5,3,7,7,5,7,3,11,5,10,4,1,4,2,6,4,7,4,6,1,20,11,8,2,3,2026-06-19 12:57:02
2023-01-12,Thursday,Weekday,222,0,4,2,6,10,2,4,12,1,14,1,0,2,7,4,15,4,0,8,1,9,1,3,10,17,3,10,1,10,8,1,3,1,2,1,8,33,0,4,2026-06-19 12:57:02
2023-01-13,Friday,Weekday,227,4,11,5,4,6,1,0,3,0,6,2,4,1,15,15,1,3,6,0,3,1,15,10,6,4,14,15,19,1,1,6,3,0,0,11,15,2,10,4,2026-06-19 12:57:02
2023-01-14,Saturday,Weekend,409,15,4,1,6,10,6,1,43,3,3,7,8,6,12,7,11,14,0,10,26,0,6,22,5,8,47,2,1,19,23,5,7,15,11,3,0,8,17,17,2026-06-19 12:57:02
2023-01-15,Sunday,Weekend,438,24,20,10,7,27,11,9,1,24,9,4,11,14,2,19,4,2,6,18,30,14,31,1,1,9,3,16,16,40,3,7,7,3,8,7,9,4,0,7,2026-06-19 12:57:02
2023-01-16,Monday,Weekday,266,5,0,3,2,6,1,5,8,7,16,5,5,13,4,10,6,3,10,2,3,2,3,2,6,14,12,3,28,7,3,13,8,8,1,4,21,5,6,6,2026-06-19 12:57:02
2023-01-17,Tuesday,Weekday,187,9,2,4,1,10,6,0,6,3,2,4,1,3,2,8,9,6,0,18,6,0,9,1,4,4,4,12,4,0,17,11,5,3,0,8,0,0,4,1,2026-06-19 12:57:02
2023-01-18,Wednesday,Weekday,224,0,2,0,0,0,1,8,10,4,8,0,0,3,5,10,8,3,1,11,3,8,5,10,18,18,6,5,3,20,4,1,3,1,5,6,5,0,18,11,2026-06-19 12:57:02
2023-01-19,Thursday,Weekday,222,7,1,6,5,2,1,2,1,34,0,3,4,1,4,1,9,2,4,7,13,11,5,2,4,9,10,0,3,8,3,2,2,5,39,5,2,1,0,4,2026-06-19 12:57:02
2023-01-20,Friday,Weekday,353,7,4,10,15,4,4,46,5,11,9,15,14,10,18,25,8,2,5,12,11,2,0,9,3,6,12,8,0,2,2,2,6,5,3,0,2,38,4,14,2026-06-19 12:57:02
2023-01-21,Saturday,Weekend,550,22,9,19,3,27,2,28,1,21,2,31,5,17,9,7,13,40,0,33,13,24,6,9,33,8,10,0,2,18,20,10,2,6,5,9,36,23,1,26,2026-06-19 12:57:02
2023-01-22,Sunday,Weekend,547,14,23,3,28,8,11,0,3,1,9,2,23,0,22,4,75,49,6,22,0,58,13,1,9,1,10,23,14,9,2,5,3,31,2,18,12,5,19,9,2026-06-19 12:57:02
2023-01-23,Monday,Weekday,336,5,7,7,3,11,10,0,7,0,3,9,21,21,0,5,9,2,17,14,21,0,2,18,8,22,0,8,8,0,7,8,2,3,8,7,27,3,3,30,2026-06-19 12:57:02
2023-01-24,Tuesday,Weekday,215,9,0,7,0,0,1,1,8,6,26,6,3,5,37,6,7,15,0,6,8,15,1,4,6,1,5,1,3,3,3,2,3,1,1,0,2,5,7,1,2026-06-19 12:57:02
2023-01-25,Wednesday,Weekday,362,0,12,4,39,27,3,4,8,0,4,1,17,9,0,12,7,8,1,8,46,0,5,2,4,7,20,31,1,8,10,7,5,1,7,7,20,16,1,0,2026-06-19 12:57:02
2023-01-26,Thursday,Weekday,282,11,5,13,0,7,4,14,0,1,4,13,17,28,20,0,0,1,5,10,14,1,5,16,4,0,4,3,6,4,0,25,4,3,17,1,3,9,2,8,2026-06-19 12:57:02
2023-01-27,Friday,Weekday,151,0,0,3,1,7,3,10,7,1,9,3,5,7,3,3,3,1,1,4,1,0,0,3,1,5,2,3,2,5,2,11,9,5,8,3,3,5,4,8,2026-06-19 12:57:02
2023-01-28,Saturday,Weekend,546,9,52,6,22,21,12,4,20,26,4,10,5,53,7,3,5,13,1,10,30,25,1,64,13,1,0,3,21,0,2,14,8,13,10,0,39,3,7,9,2026-06-19 12:57:02
2023-01-29,Sunday,Weekend,459,3,47,9,1,53,8,18,10,23,0,3,7,1,16,6,3,0,19,21,7,13,4,11,0,8,13,31,7,19,12,30,5,5,21,1,4,1,19,0,2026-06-19 12:57:02
2023-01-30,Monday,Weekday,173,7,2,0,2,2,3,5,3,0,6,8,6,7,1,8,3,0,8,15,3,1,1,4,8,1,7,1,9,10,2,2,6,2,4,4,2,9,1,10,2026-06-19 12:57:02
2023-01-31,Tuesday,Weekday,291,0,9,3,4,5,10,7,18,2,13,11,1,5,4,3,4,11,1,9,24,6,9,0,17,4,8,30,6,9,5,0,10,0,9,0,22,1,5,6,2026-06-19 12:57:02
2023-02-01,Wednesday,Weekday,343,7,3,6,5,10,3,8,1,40,8,2,6,20,0,11,7,1,14,3,4,17,11,23,9,13,17,0,14,11,0,4,0,10,8,27,3,8,1,8,2026-06-19 12:57:02
2023-02-02,Thursday,Weekday,361,10,9,15,18,0,4,10,8,3,8,5,4,15,4,0,0,16,26,10,4,26,11,16,13,5,7,3,3,15,22,9,6,0,0,4,9,7,0,36,2026-06-19 12:57:02
2023-02-03,Friday,Weekday,493,7,20,10,6,31,14,8,8,0,17,31,0,3,28,3,13,8,12,6,5,0,19,15,14,15,3,0,19,10,6,0,0,5,16,33,46,29,27,6,2026-06-19 12:57:02
2023-02-04,Saturday,Weekend,424,2,20,3,4,8,9,5,2,9,47,13,31,3,2,13,9,16,25,19,34,8,3,11,2,5,3,6,2,0,15,10,14,13,2,5,3,31,14,3,2026-06-19 12:57:02
2023-02-05,Sunday,Weekend,477,4,28,11,17,4,2,13,12,12,11,7,14,2,3,21,4,7,12,102,5,5,15,18,13,6,4,10,20,22,1,4,5,26,11,4,0,8,1,13,2026-06-19 12:57:02
2023-02-06,Monday,Weekday,299,12,4,6,17,5,2,20,14,14,3,1,0,1,11,1,12,1,4,34,1,3,4,1,6,3,10,15,6,0,7,0,7,7,1,13,29,15,3,6,2026-06-19 12:57:02
2023-02-07,Tuesday,Weekday,244,14,2,11,0,0,9,12,10,21,2,1,20,1,9,7,0,2,6,15,10,8,5,3,1,4,0,1,5,5,0,4,5,0,17,1,18,0,15,0,2026-06-19 12:57:02
2023-02-08,Wednesday,Weekday,200,8,3,10,3,0,6,0,12,0,5,8,3,1,7,8,13,3,4,3,1,8,3,3,3,8,14,5,4,10,7,0,0,0,3,9,3,3,11,8,2026-06-19 12:57:02
2023-02-09,Thursday,Weekday,118,2,1,0,0,1,1,3,0,1,1,3,4,3,0,1,0,1,9,13,4,9,3,0,18,0,4,0,1,4,2,1,1,1,10,6,3,1,5,1,2026-06-19 12:57:02
2023-02-10,Friday,Weekday,195,3,3,16,1,1,4,2,6,4,6,1,1,10,17,2,1,0,7,9,3,8,8,19,0,1,0,14,12,7,1,1,2,5,2,0,12,2,3,1,2026-06-19 12:57:02
2023-02-11,Saturday,Weekend,202,6,3,13,3,21,8,5,12,2,3,0,4,7,6,1,3,1,6,1,11,1,1,9,3,0,3,1,21,4,2,3,1,7,11,10,3,2,0,4,2026-06-19 12:57:02
2023-02-12,Sunday,Weekend,362,8,6,33,2,0,1,3,0,8,6,3,17,3,16,6,9,33,1,10,28,10,4,7,16,28,1,1,5,4,5,3,3,2,27,2,3,4,30,14,2026-06-19 12:57:02
2023-02-13,Monday,Weekday,221,7,2,12,5,3,5,11,11,16,24,1,4,0,15,1,11,2,2,0,2,14,0,2,0,2,1,1,12,5,2,5,1,1,4,1,9,5,8,14,2026-06-19 12:57:02
2023-02-14,Tuesday,Weekday,233,0,1,3,1,16,7,4,4,0,6,9,6,1,8,3,5,4,3,7,12,0,14,4,7,9,4,11,2,1,7,10,13,5,3,3,27,3,7,3,2026-06-19 12:57:02
2023-02-15,Wednesday,Weekday,234,4,2,14,3,24,0,4,7,6,18,0,0,3,0,18,1,3,0,3,3,0,1,3,19,1,4,18,8,21,14,2,5,0,2,6,6,5,5,1,2026-06-19 12:57:02
2023-02-16,Thursday,Weekday,245,11,4,1,14,4,7,4,3,12,8,3,2,17,0,13,3,6,16,1,5,9,8,5,6,6,10,11,3,38,3,0,2,1,1,1,0,6,0,1,2026-06-19 12:57:02
2023-02-17,Friday,Weekday,475,3,3,3,7,53,16,19,3,3,0,17,0,7,3,3,58,15,18,7,20,9,30,3,11,13,6,24,38,8,5,6,19,10,0,7,0,17,4,7,2026-06-19 12:57:02
2023-02-18,Saturday,Weekend,620,21,0,1,7,4,4,65,27,30,52,7,4,3,22,15,4,6,11,11,30,6,29,9,17,34,34,0,2,7,9,10,34,1,6,3,38,50,6,1,2026-06-19 12:57:02
2023-02-19,Sunday,Weekend,556,17,15,6,22,57,7,10,3,10,10,4,1,4,3,9,9,13,5,6,23,8,51,8,11,0,11,23,40,73,3,9,6,7,2,23,36,7,3,1,2026-06-19 12:57:02
2023-02-20,Monday,Weekday,215,5,1,10,4,6,3,0,8,4,29,2,4,0,4,6,5,7,1,14,22,0,12,1,4,1,15,0,3,3,1,3,0,4,14,6,9,1,1,2,2026-06-19 12:57:02
2023-02-21,Tuesday,Weekday,237,1,18,1,14,0,8,1,0,8,5,8,6,1,24,4,8,3,7,2,1,4,5,3,8,7,0,3,4,0,1,0,33,9,0,0,12,4,10,14,2026-06-19 12:57:02
2023-02-22,Wednesday,Weekday,184,2,1,6,14,7,4,2,3,8,21,4,7,1,1,3,1,4,2,7,7,2,1,5,21,4,0,0,2,1,7,7,1,2,1,10,4,6,2,3,2026-06-19 12:57:02
2023-02-23,Thursday,Weekday,212,2,2,5,5,4,1,2,2,5,19,0,1,2,3,2,7,1,5,12,13,15,10,12,1,1,0,7,16,1,5,6,11,5,18,2,4,3,2,0,2026-06-19 12:57:02
2023-02-24,Friday,Weekday,275,9,10,11,3,10,3,0,7,2,0,10,0,25,7,39,0,9,3,20,3,3,16,3,0,5,9,3,5,0,9,7,4,4,0,2,2,5,5,22,2026-06-19 12:57:02
2023-02-25,Saturday,Weekend,378,2,6,7,7,30,2,0,11,4,0,3,5,10,2,6,7,5,36,0,27,9,15,6,5,21,20,4,2,6,25,3,8,9,14,8,8,29,6,10,2026-06-19 12:57:02
2023-02-26,Sunday,Weekend,420,4,12,4,4,21,7,13,3,8,9,9,4,15,19,3,5,11,14,10,13,5,5,3,2,10,1,32,20,19,25,5,15,2,0,15,2,51,8,12,2026-06-19 12:57:02
2023-02-27,Monday,Weekday,140,2,5,0,9,1,4,2,0,4,1,7,2,3,4,2,4,10,1,1,2,2,4,2,9,0,3,3,6,16,3,18,1,0,1,2,2,1,2,1,2026-06-19 12:57:02
2023-02-28,Tuesday,Weekday,179,1,1,11,1,10,4,3,1,2,7,2,1,1,11,3,5,3,10,4,3,14,7,1,1,8,9,4,4,4,3,4,1,13,6,5,3,1,2,5,2026-06-19 12:57:02
2023-03-01,Wednesday,Weekday,223,2,2,4,8,0,2,7,4,6,6,28,0,3,0,2,3,2,17,12,2,6,4,9,4,0,7,7,2,10,11,3,3,26,1,2,2,10,6,0,2026-06-19 12:57:02
2023-03-02,Thursday,Weekday,186,14,6,8,0,6,4,3,5,9,3,9,1,1,0,2,3,7,4,3,5,0,1,5,5,6,2,5,6,15,1,3,4,27,1,5,3,3,1,0,2026-06-19 12:57:02
2023-03-03,Friday,Weekday,282,7,4,3,6,0,21,6,13,5,26,5,7,5,10,7,3,2,8,5,0,4,8,16,0,3,13,8,3,17,5,4,24,21,3,2,5,0,0,3,2026-06-19 12:57:02
2023-03-04,Saturday,Weekend,329,17,15,8,6,0,1,0,12,1,23,8,2,2,10,21,10,3,6,3,56,12,9,4,9,4,0,4,20,9,1,15,2,2,2,6,8,6,10,2,2026-06-19 12:57:02
2023-03-05,Sunday,Weekend,532,16,1,18,12,23,9,13,1,23,2,2,13,16,1,31,47,11,9,17,6,8,37,40,35,5,3,6,8,6,7,11,19,14,21,0,0,21,9,11,2026-06-19 12:57:02
2023-03-06,Monday,Weekday,239,1,2,7,11,25,3,4,11,4,6,12,9,15,1,4,12,1,9,1,9,7,2,4,7,6,3,14,3,4,0,12,1,3,7,1,6,1,7,4,2026-06-19 12:57:02
2023-03-07,Tuesday,Weekday,194,5,7,4,4,5,2,4,10,2,2,2,2,0,4,3,3,2,5,9,13,3,0,14,6,2,2,1,1,0,11,2,4,7,6,8,22,3,10,4,2026-06-19 12:57:02
2023-03-08,Wednesday,Weekday,138,1,4,5,10,2,3,0,2,0,4,6,1,3,1,1,3,0,3,0,1,3,4,0,3,7,5,1,3,5,0,7,9,6,7,7,6,6,5,4,2026-06-19 12:57:02
2023-03-09,Thursday,Weekday,237,3,3,13,0,11,16,6,35,7,0,10,1,3,2,1,3,3,6,9,2,2,7,7,14,0,10,4,6,0,3,1,1,4,8,8,8,4,2,14,2026-06-19 12:57:02
2023-03-10,Friday,Weekday,132,3,1,1,3,4,0,6,4,3,0,1,10,7,1,1,2,2,4,9,1,0,7,0,10,2,9,1,0,3,2,1,9,5,2,1,6,4,1,6,2026-06-19 12:57:02
2023-03-11,Saturday,Weekend,284,1,1,0,10,10,3,1,0,1,6,2,2,15,5,9,0,4,4,1,1,18,18,1,3,20,1,8,31,29,4,1,1,13,13,7,16,9,6,9,2026-06-19 12:57:02
2023-03-12,Sunday,Weekend,284,8,5,2,10,8,2,11,7,20,2,6,2,17,1,6,13,3,26,13,2,0,2,3,16,23,1,5,5,1,4,2,4,6,8,1,15,8,12,4,2026-06-19 12:57:02
2023-03-13,Monday,Weekday,190,9,6,2,3,21,5,13,8,4,1,1,15,2,0,5,5,1,1,2,0,6,2,8,8,5,2,3,2,1,10,2,6,0,1,17,6,3,3,1,2026-06-19 12:57:02
2023-03-14,Tuesday,Weekday,238,7,1,8,5,30,4,1,5,0,2,0,4,0,5,15,8,0,1,7,17,0,10,6,6,16,8,11,3,4,8,2,4,1,1,2,10,18,3,5,2026-06-19 12:57:02
2023-03-15,Wednesday,Weekday,279,1,14,6,10,15,1,5,18,0,10,23,1,13,16,8,2,3,0,11,13,8,3,0,9,6,13,8,11,10,7,2,13,6,3,0,2,6,1,1,2026-06-19 12:57:02
2023-03-16,Thursday,Weekday,214,1,0,6,2,5,1,1,2,7,11,2,5,2,20,14,4,6,8,6,6,16,3,4,9,4,6,1,2,2,4,2,19,4,6,2,9,5,6,1,2026-06-19 12:57:02
2023-03-17,Friday,Weekday,261,5,6,6,16,25,21,8,21,11,2,3,2,0,2,0,8,2,4,10,10,23,6,4,3,2,2,3,30,0,2,1,6,3,4,2,4,0,4,0,2026-06-19 12:57:02
2023-03-18,Saturday,Weekend,416,13,7,14,7,8,1,8,7,8,19,20,18,2,11,1,13,5,2,25,10,5,0,8,23,12,37,2,12,16,8,1,9,9,12,18,26,11,3,5,2026-06-19 12:57:02
2023-03-19,Sunday,Weekend,271,9,19,1,5,4,2,5,6,0,14,11,22,1,6,4,2,5,12,0,24,13,11,11,3,10,4,17,1,3,6,2,3,4,12,5,5,2,3,4,2026-06-19 12:57:02
2023-03-20,Monday,Weekday,200,6,1,1,2,4,3,10,2,5,8,1,10,4,3,10,1,13,5,7,13,11,5,7,4,4,0,0,11,0,1,8,0,2,5,5,13,5,4,6,2026-06-19 12:57:02
